City,Average Cost for Two,Has Table Booking,Has Online Delivery,Is Delivering Now,Price Range,Aggregate Rating,Votes,Aggregate Rating/Average Cost for Two,Longitude_Of_City,Latitude_Of_City
Dehradun,800,No,No,No,3,3.6,102,0.006666666666666667,30.3165,78.0322
Dehradun,500,No,No,No,3,3.8,115,0.004,30.3165,78.0322
Dehradun,650,No,No,No,3,3.9,141,0.0026666666666666666,30.3165,78.0322
Dehradun,1000,No,No,No,4,3.9,173,0.01075,30.3165,78.0322
Dehradun,750,No,No,No,3,4.2,406,0.003,30.3165,78.0322
Dehradun,1500,No,No,No,4,4.9,50,0.014,30.3165,78.0322
Dehradun,0,No,No,No,1,4.3,63,0.006,30.3165,78.0322
Dehradun,1250,No,No,No,4,4.0,98,0.014333333333333333,30.3165,78.0322
Dehradun,550,No,No,No,3,3.8,230,0.003142857142857143,30.3165,78.0322
Dehradun,500,No,No,No,3,4.0,94,0.0045000000000000005,30.3165,78.0322
Dehradun,350,No,No,No,2,4.1,64,0.0076,30.3165,78.0322
Dehradun,700,No,No,No,3,3.9,131,0.006,30.3165,78.0322
Dehradun,600,No,No,No,3,3.9,101,0.0039,30.3165,78.0322
Dehradun,600,No,No,No,3,3.9,121,0.0056,30.3165,78.0322
Dehradun,400,No,No,No,2,3.9,39,0.003266666666666667,30.3165,78.0322
Dehradun,1600,No,No,No,4,4.4,66,inf,30.3165,78.0322
Dehradun,1200,No,No,No,4,4.0,175,0.0032,30.3165,78.0322
Dehradun,500,No,No,No,3,4.1,104,0.006909090909090909,30.3165,78.0322
Dehradun,500,No,No,No,3,4.2,68,0.008,30.3165,78.0322
Dehradun,600,No,No,No,3,4.2,89,0.011714285714285714,30.3165,78.0322
Faridabad,250,No,No,No,1,2.9,4,0.005571428571428571,28.4089,77.3178
Faridabad,500,No,No,No,2,2.8,16,0.0065,28.4089,77.3178
Faridabad,150,No,No,No,1,2.8,8,0.0065,28.4089,77.3178
Faridabad,150,No,No,No,1,2.9,8,0.00975,28.4089,77.3178
Faridabad,100,No,No,No,1,2.8,7,0.0027500000000000003,28.4089,77.3178
Faridabad,300,No,No,No,1,3.0,4,0.0033333333333333335,28.4089,77.3178
Faridabad,100,No,No,No,1,0.0,1,0.008199999999999999,28.4089,77.3178
Faridabad,100,No,No,No,1,0.0,3,0.008400000000000001,28.4089,77.3178
Faridabad,400,No,No,No,1,0.0,3,0.007,28.4089,77.3178
Faridabad,300,No,No,No,1,0.0,0,0.0116,28.4089,77.3178
Faridabad,300,No,No,No,1,2.9,4,0.0056,28.4089,77.3178
Faridabad,350,No,No,No,1,3.0,7,0.018666666666666665,28.4089,77.3178
Faridabad,300,No,No,No,1,2.9,11,0.019333333333333334,28.4089,77.3178
Faridabad,200,No,No,No,1,0.0,1,0.027999999999999997,28.4089,77.3178
Faridabad,300,No,No,No,1,0.0,0,0.01,28.4089,77.3178
Faridabad,400,No,No,No,1,0.0,0,0.0,28.4089,77.3178
Faridabad,600,No,Yes,No,2,2.8,49,0.0,28.4089,77.3178
Faridabad,500,No,No,No,2,3.4,58,0.0,28.4089,77.3178
Faridabad,700,No,No,No,2,3.4,233,0.0,28.4089,77.3178
Faridabad,1100,No,Yes,No,3,3.8,508,0.009666666666666667,28.4089,77.3178
Faridabad,600,No,Yes,No,2,3.6,98,0.008571428571428572,28.4089,77.3178
Faridabad,900,No,Yes,No,2,3.6,59,0.009666666666666667,28.4089,77.3178
Faridabad,300,No,No,No,1,0.0,0,0.0,28.4089,77.3178
Faridabad,200,No,No,No,1,0.0,1,0.0,28.4089,77.3178
Faridabad,500,No,No,No,2,0.0,2,0.0,28.4089,77.3178
Faridabad,500,No,Yes,No,2,2.1,57,0.004666666666666666,28.4089,77.3178
Faridabad,1600,No,No,No,3,4.0,299,0.0068,28.4089,77.3178
Faridabad,1300,No,Yes,No,3,4.1,239,0.004857142857142857,28.4089,77.3178
Faridabad,400,No,No,No,1,3.2,16,0.0034545454545454545,28.4089,77.3178
Faridabad,200,No,Yes,No,1,2.7,16,0.006,28.4089,77.3178
Faridabad,800,No,Yes,No,2,3.4,48,0.004,28.4089,77.3178
Faridabad,1000,Yes,No,No,3,2.4,25,0.0,28.4089,77.3178
Faridabad,200,No,No,No,1,0.0,3,0.0,28.4089,77.3178
Faridabad,250,No,No,No,1,2.8,12,0.0,28.4089,77.3178
Faridabad,200,No,No,No,1,0.0,2,0.004200000000000001,28.4089,77.3178
